-146,-191.32,-121.86,-97.6,-212.35,-347.41,-251.1,-183.38,-402.81,-298.86,-234.71,-277.3,-289.78,-113.03,-50.86,-27.26,-34.8,109.72,84.83,155.2,-74.66,-299.06,-271.92,-237.45,-271.8,156.44,23.62,78.48,120.17,148.87,177.57,70.71,18.65,74.09,-44.57,-93,17.52,95.95,30.63,-0.8
-70.5,12.19,-93.13,33.97,42.5,-81.4,-144.12,-70.09,-91.79,-346.71,-215.4,-163.04,-182.77,-173.96,-65.68,-20.92,-158.74,-152.36,-69.5,-71.04,-110.09,-143.68,-124.49,-250.18,-168.23,-224.04,168.16,179.91,61.89,122.51,194.72,225.42,-7.69,-61.06,51.7,-1.72,-52.75,64.81,106.63,96.12
-130,33.02,24.9,61.64,149.31,200.65,-229.72,-280.44,-175.88,0.63,-226.16,-92.88,-49.48,-35.39,-32.12,38.74,-13.52,19.79,-41.14,-0.84,-2.7,-49.51,-156.24,-118.11,-61.75,15.86,3.53,282.29,389.66,159.5,161.49,283.79,297.26,-382.12,-364.1,-483.58,-366.78,-303.62,-216.37,-170.96
-425.5,-302.02,-201.37,-57.54,-170.48,13.78,-100.71,-206.12,-217.82,-126.52,2.7,-95.11,49.1,111.72,88.14,104.14,107.09,152.39,-35.57,-365.14,-232,-252.09,-258.3,-332.62,-369.07,-306.8,-143.3,-6.87,81.35,-96.74,-31.58,-218.17,-367.36,-364.78,-351.86,-405.42,-203.04,-136.99,-154.44,-107.5
-381.5,-105.97,0.86,195.91,315.37,113.86,168.86,5.43,-71.15,-108.84,24.67,306.67,112.27,236.29,242.43,261.82,290.39,268.63,353.09,134.56,-99.9,23.38,-24.62,-16.79,-188.34,-22.04,46.1,149.61,180.9,157.42,94.66,250.28,-40.83,-47.15,-26.16,-122.99,-161.03,44.84,89.49,-0.68
-3230.5,-2453.23,-1747.8,-1449.25,-879.25,-804.26,-1132.84,-867.74,-647.08,-552.2,-623.2,-577.1,-425.46,-365.26,-39.47,49.54,-95.11,-25.51,27.44,-94.39,-111.83,-228.58,-82.33,-219.59,-99.84,-196.04,-203.31,-46.4,-89.56,-219.81,-111.06,-328.78,-216.61,-362.78,-312.52,-318.46,-404.08,-317.35,-206,-242.54
-84,-170.11,-157.4,-118.4,112.14,115.06,206.79,-79.06,-261.61,-57.6,-77.34,-106.61,-230.63,-21.93,13.1,62.5,36.66,14.88,27.58,152.68,210.24,284.88,148.28,186.71,-15.01,131.18,64.13,154.86,291.35,338.87,420.85,421.33,214.04,222.97,73.33,-69.21,25.01,95.64,105.52,150.37
-61.5,-142.36,-186.69,-169.17,-240.73,-36.34,108.53,64.27,18.17,66.34,-47.78,-52.25,-229.96,133.88,253.04,318.94,213.53,498.78,298.5,14.75,26.28,45.03,320.15,288.19,272.13,432.7,72.67,-52.03,-23.98,58.2,36.9,133.39,176.93,110.69,141.18,96.4,-55.06,-83.4,-108.88,-97.56
-54,-58.83,-123.46,-155.39,-93.93,-148.44,14.24,156.14,205.38,70.02,-140.71,-22.18,2.89,36.2,-38.37,384.22,500.52,316.09,110.44,-32.51,-4.72,19.16,44.71,58.2,45.56,-14.8,-31.18,-15.95,-74.41,-63.41,169.12,-41.4,-64.1,-49.79,-41.01,-32.23,-23.45,-38.35,163.43,135.33
-49.5,-105.36,-173.98,-116.97,-90.81,-37.24,-86.61,-27.59,14.26,56.1,-17.96,-66.17,-49.72,-46.94,-36.9,-8.39,20.12,2.5,144.25,55.76,31.01,56.36,35.41,58.58,81.76,104.94,5.13,-15.95,-0.73,-63.41,-52.4,-99.02,-30.4,-55.49,-41.01,-32.23,-23.45,-14.67,-71.57,-64.56
