-4656,-3587.24,-2781.85,-2196.19,-1880.98,-1660.5,-1515.28,-1279.32,-1114.85,-860.86,-850.38,-788.06,-696.29,-787.12,-727.82,-659.21,-511.9,-462.93,-388.33,-378.73,-454.8,-434.74,-451.49,-431.71,-380.27,-309.45,-209.72,-188.24,-147.98,-158.75,-123.6,-179.84,-181.62,-116.67,-207.65,-165.82,-162.21,-80.5,-74.95,43.63,55.44,37.62,13.76,5.58,57.94,101.64,54.77,96.39,58.82,48.4
-4140,-3178.71,-2509.83,-2210.88,-1661.86,-1647.09,-1472.08,-1209.1,-1040.42,-922.19,-826.28,-931.11,-741.68,-524.47,-629.63,-711.38,-655.07,-558.73,-496.78,-447.36,-322,-244.88,-316.64,-309.76,-294.85,-364.3,-316.54,-279.48,-181.26,-271.96,-40.22,92.11,31.15,56.91,-99.97,-239.42,-141.05,-104.83,-76.94,-66.91,-103.12,18.85,46.06,-13.12,69.98,111.62,46.96,24.53,74.83,22.15
-3666,-2888.36,-2306.26,-1994.96,-1681.41,-1316.26,-1316.61,-1116.03,-937.26,-737.65,-601.56,-562.27,-533.55,-380.69,-187.76,-298.08,-411.38,-474.83,-468.11,-335.84,-227.08,-185.77,-87.03,-121.77,-49.89,58.95,-15.26,175.13,-67.61,-35.43,2.2,124.13,214.74,183.06,249.04,159.22,71.62,94.6,82.28,100.68,109.28,94.18,145.7,171.76,170.73,228.71,269.35,163.54,156.96,206.02
-3258,-2392.76,-2261.34,-1899.47,-1564.36,-1272.4,-1078.58,-1089.73,-889.28,-768.2,-679.12,-525.13,-584.81,-456.1,-318.48,-179.27,-290.51,-373.84,-341.93,-299.31,-173.84,-91.43,-36.46,-54.47,-87.5,-73.25,33.75,61.41,192.02,-54.98,-52.18,-6.62,165.55,284.46,211.77,293.47,293.41,231.66,275.26,305.46,135.36,220.91,215.02,268.51,297.04,291.06,378.82,323.9,215.49,261.28
-2862,-2262.87,-1806.62,-1716.67,-1421.42,-1215.99,-956.34,-691.72,-647.09,-483.24,-506,-452.26,-297.35,-333.69,-247.82,-234.96,-224.06,-117.45,-180.63,-146.2,-79.16,-46.74,59.39,104.3,185.5,101.3,48.74,216.61,161.34,198.03,-15.08,80.08,58.74,114.05,182.3,162.39,182.5,153.13,128.13,172.88,201.04,50.26,223.86,322.04,366.95,394.92,345.27,246.4,168.14,162.14
-2476,-2090.88,-1894.16,-1468.09,-1282.67,-1067.78,-986.87,-702.92,-461.81,-403.86,-198.1,-341.25,-303.59,-274.02,-244.24,-237,-90.62,-45.59,-0.69,-110.99,-77.52,-24.08,-10.16,92.17,130.02,57.75,-88.54,40.52,143.64,136.08,180.9,46.07,-39.86,-17.02,62.41,178.54,159.14,99.74,66.92,37.09,86.4,33.91,80.54,99.56,111.68,148.35,222.3,188.97,107.9,191.37
-2140,-1538.08,-1666.13,-1485.22,-1119.72,-963.19,-874.12,-814.68,-599.3,-356.07,-317.88,-135.62,-275.6,-278.78,-183.42,-185.5,-103.06,-37.4,40.48,-46.89,-60.76,-63.4,39.31,46.47,62.56,157.35,137.71,112.29,206.14,312.35,234.08,226.92,128.61,103.77,114.22,140.2,194.45,129.28,75.84,121.68,84,127.65,64.64,105.56,146.48,147.98,180.48,253.45,158.05,197.74
-1852,-1678.36,-1477.13,-1389.74,-1109.72,-776.14,-622.71,-638.05,-642.18,-471.19,-315.66,-312.11,-119.18,-297.12,-275.96,-126.43,-259.33,-107.04,22.28,93.66,26.2,-11.21,23.08,111,128.67,108.85,230.05,110.18,75.44,88.11,177.24,96.32,36.72,56.74,-24.57,37.47,44.18,161.98,174,50.38,100.24,64.39,60.95,0.15,97.83,133.99,183.48,216.93,289.33,192.09
-1588,-1437.78,-1424.63,-1299,-1144.67,-994.03,-677.55,-427.55,-417.82,-415.82,-321.92,-198.54,-65.62,38.98,-71.13,-213.05,-51.3,-141.53,6.69,107.52,222.32,175.91,171.18,222.94,199.36,201.7,79.52,95.68,87.34,233.87,225.16,287.55,180.82,297.17,334.53,349.01,415.92,416.35,300.18,355.29,349.28,402.76,212.08,239.2,290.37,283.57,365.39,342.89,157.57,183.42
-1380,-1018.41,-972.59,-1001.81,-899.27,-847.36,-775.6,-522.69,-291.5,-325.28,-375.2,-272.25,-192.38,-92.51,-29.96,-129.38,-228.32,-125.34,-149.18,-104.99,8.32,97.27,32.18,82.82,177.81,110.85,203.26,196.22,240.66,319.02,304.52,353.89,388.78,408.8,473,400.25,406.89,419.3,476.3,403.67,455.76,507.85,570.99,452.98,479.17,508.03,420.62,247.44,279.42,311.41
-1172,-799.51,-629.1,-702.37,-700.22,-756.38,-651.87,-527.48,-364.93,-176.49,-108.82,-87.36,-14.99,77.93,104.91,143.69,69.07,-117.85,0.08,-4.14,65.52,17.38,52.24,-49.83,18.88,46.2,102.15,200.23,225.88,206.5,233.4,208.19,266.19,302.63,361.74,420.85,338.74,338.69,393.03,444.8,415.52,379.11,336.14,389.97,323.18,364.62,370.84,460.56,496.27,540.12
-1016,-780.9,-571.64,-519.19,-574,-545.97,-692.98,-586.02,-587.81,-472.21,-330.92,-235.32,-112.48,-44.42,22.12,14.58,28.24,-8.58,-114.75,-6.25,-83.56,-76.18,-111.23,-113.06,-158.9,-130.3,-106.17,-125.88,-85.94,-69.06,-157.42,-229.84,-224.06,-218.9,-215.66,-215.66,-172.34,-202.71,-218.09,-178.56,-139.04,-156.36,-128.82,-167.78,-131.87,-95.96,-213.05,-238.49,-244.05,-214.92
-888,-556.4,-439.96,-362.17,-402.74,-411.28,-440.01,-565.68,-402.82,-401.14,-331.3,-184.42,-120.67,2.65,101.84,140.95,114.9,109.4,73.7,2.38,105.2,-81.76,-109.77,-97.39,-80.4,-78.45,-42.88,-19.39,-49.86,7.56,17.66,-35.78,-69.71,-131.61,-84.38,-99.94,-144.69,-102.1,-105.06,-63.77,-22.48,-41.23,-63.11,-24.95,-65.42,-56,-21.6,-143.7,-112.8,-120.53
-804,-695.46,-463.2,-368.83,-255.28,-412.36,-405.3,-409.73,-477.62,-339.97,-295.22,-248.31,-120,-49.69,28.69,108.44,136.3,108.05,134.7,79.62,31.08,126.69,-77.3,-54.29,-39.47,-29.05,-36.52,-6.1,9.82,-28,-66.94,-63.62,-125.9,-170.53,-241.17,-199.03,-221.58,-226.63,-187.72,-195.68,-158.08,-120.48,-144.49,-171.62,-137.14,-171.3,-167.2,-136.22,-265.25,-237.77
-684,-576.28,-497.47,-333.14,-360.25,-372.43,-390.36,-431.01,-418.1,-361.53,-235.22,-212.1,-178.94,-58.14,-69.71,19.29,78.08,119.96,17.9,35.67,-50.04,-71.52,-9.47,-1.5,-29.95,-4.45,-8.17,-27.46,28.7,69.39,-8.9,-58.57,-45.06,-53.64,-105.91,-230.96,-194.82,-225.27,-191.03,-156.8,-170.72,-137.79,-104.86,-71.92,-103.72,-72.35,-40.98,-35.27,-5.68,-139.59
-576,-423.77,-422.74,-288.57,-165.3,-241.36,-359.84,-290.12,-297.76,-180.29,-63.44,40.87,70.62,86.62,200.36,156.57,230.51,289.33,315.32,233.27,241.56,210.32,149.47,196.14,283.14,221.65,236.84,261.81,274.55,272.16,307.18,265.31,172.45,214.96,152.66,191.86,107.3,142.83,109.86,143.49,177.12,161.28,193.61,225.93,258.26,224.29,255.05,285.81,289.14,318.12
-500,-421.15,-358.01,-303.54,-153.82,-122.28,-255.54,-327.85,-281.73,-383.8,-293.9,-214.35,-139.2,-153.08,-154.87,-67.22,-48.62,13.9,66.81,118.62,-38.8,-55.6,3.17,40.82,72.53,75.35,34.23,66.84,111.76,112.89,156.16,182.88,225.62,123.47,161.46,91.31,125.98,115.95,149.3,112.24,143.68,175.12,155.8,185.93,216.07,246.21,208.5,237.07,265.65,265
-432,-379.17,-339.4,-311.05,-238.43,-123.58,-62.44,-282.13,-341.58,-324.03,-459.2,-396.57,-335.43,-259.22,-197.91,-219.46,-148.22,-113.09,-65.89,1.11,39.36,-84.28,-69.79,-3.85,46.85,72.95,103.47,152.14,144.75,156.97,196.76,241.65,269.46,313.81,191.59,230.58,210.35,247.58,284.82,322.05,238.32,221.72,254.39,235,266.37,297.74,329.11,291.07,320.88,350.69
-384,-351.91,-325.73,-366.8,-321.52,-279.05,-194.51,-156.9,-326.14,-345.22,-337.56,-412.2,-362.82,-306.88,-319.46,-272.1,-284.77,-224.07,-202.06,-167.03,-110.56,-84.49,-214.57,-190.75,-115.7,-72.6,-55.25,-33.22,7.85,25.77,30.42,63.78,102.42,141.05,179.69,80.81,115.18,88.57,121.18,153.79,186.4,94.83,72.27,100.32,128.38,156.43,184.48,212.54,169.62,196.11
-340,-276.79,-370,-372.34,-384.97,-363.95,-284.11,-207.47,-184.22,-376.61,-330.9,-271.94,-283.46,-241.87,-192.55,-212.89,-172.59,-192.24,-136.96,-103.6,-74.4,-22.12,-1.88,-119.83,-100.24,-31.85,8.24,21.43,39.57,77.62,91.6,91.92,127.73,163.53,199.34,235.14,100.68,131.31,-19.11,7.96,35.04,62.12,89.19,62.99,142.74,168.48,194.22,219.97,382.02,337.02
-276,-183.71,-141.72,-264.73,-295.89,-334.17,-389.77,-326.57,-263.12,-258.8,-388.64,-346.62,-299.79,-324.94,-296.63,-259.41,-293.01,-255.35,-208.61,-161.86,-115.12,-81.55,-111.85,-100.79,-193.25,-180.65,-95.57,-60.09,-52.65,-18.31,16.02,50.35,46.58,79.59,112.61,145.63,178.65,36.23,64.07,-92.69,-68.4,-44.11,-19.82,4.47,-25.85,51.11,74.07,97.03,119.98,281.04
-236,-158.3,-131.8,-161.84,-312.45,-365.21,-364.41,-375.37,-325.66,-271.12,-279.4,-363.04,-323.92,-287.36,-337.59,-294.42,-266.32,-224.34,-193.08,-151.92,-110.76,-69.6,-42.43,-79.5,-40.35,-58.5,-49.78,-116.73,-85.65,-83.74,-53.8,-23.86,-23.9,-34.45,-6.89,20.67,48.23,75.79,-42.57,-19.17,-183.92,-164.07,-144.22,-124.36,-104.51,-84.66,-115.27,-96.6,-77.94,-59.27
-208,-191.22,-124.43,-110.85,-152.96,-263.65,-329.7,-340.17,-362.83,-323.29,-277.66,-296.13,-392.39,-363.38,-323.95,-385.83,-350.35,-331.14,-296.85,-262.57,-228.28,-193.99,-159.71,-125.42,-169.74,-136.65,-163.47,-162.03,-239.27,-214.25,-219.54,-195.66,-171.78,-178.94,-196.86,-175.36,-153.86,-132.35,-110.85,-239.43,-222.08,-326.73,-311.14,-295.54,-279.95,-264.36,-248.77,-233.18,-217.58,-201.99
-184,-124.65,-170.18,-166.47,-110.62,-109.7,-229.83,-301.28,-319.78,-350.89,-318.28,-278.31,-303.72,-409.36,-387.22,-353.45,-424.94,-395.13,-382.77,-354.14,-325.52,-296.9,-268.27,-239.65,-211.02,-262.2,-234.77,-269.86,-275.31,-416.44,-397.08,-409.18,-390.96,-372.74,-354.52,-378.36,-361.46,-344.55,-327.65,-310.74,-448.08,-435.33,-546.34,-535.34,-524.35,-513.36,-502.37,-491.38,-480.38,-469.39
-184,-124.65,-117.83,-113.27,-166.06,-111.57,-113.79,-239.31,-254.9,-275.75,-309.66,-278.31,-238.34,-265.03,-374.39,-353.45,-319.68,-395.13,-365.31,-354.14,-325.52,-296.9,-268.27,-239.65,-211.02,-182.4,-234.77,-207.34,-245.04,-251.72,-397.08,-377.72,-390.96,-372.74,-354.52,-336.3,-361.46,-344.55,-327.65,-310.74,-293.84,-435.33,-422.58,-409.84,-397.09,-384.34,-371.59,-358.84,-346.1,-333.35
-152,-103.19,-54.39,-59.37,-66.52,-132.27,-88.32,-102.87,-119.65,-145.14,-106.38,-148.35,-123.53,-88.82,-122.06,-173.94,-158.37,-128.77,-212.34,-186.69,-161.04,-135.39,-109.74,-84.1,-58.45,-32.8,-7.15,18.5,44.14,35.92,27.54,-122.53,-103.65,-118.51,-100.77,-83.03,-65.29,-92.24,-75.81,-59.39,-42.96,-26.53,-119.88,-106.25,-92.63,-79.01,-65.39,-51.77,-38.14,-24.52
