-4656,-3587.24,-2781.85,-2196.19,-1880.98,-1660.5,-1515.28,-1279.32,-1114.85,-860.86,-850.38,-788.06,-696.29,-787.12,-727.82,-659.21,-511.9,-462.93,-388.33,-378.73
-4140,-3178.71,-2509.83,-2210.88,-1661.86,-1647.09,-1472.08,-1209.1,-1040.42,-922.19,-826.28,-931.11,-741.68,-524.47,-629.63,-711.38,-655.07,-558.73,-496.78,-447.36
-3666,-2888.36,-2306.26,-1994.96,-1681.41,-1316.26,-1316.61,-1116.03,-937.26,-737.65,-601.56,-562.27,-533.55,-380.69,-187.76,-298.08,-411.38,-474.83,-468.11,-335.84
-3258,-2392.76,-2261.34,-1899.47,-1564.36,-1272.4,-1078.58,-1089.73,-889.28,-768.2,-679.12,-525.13,-584.81,-456.1,-318.48,-179.27,-290.51,-373.84,-341.93,-299.31
-2862,-2262.87,-1806.62,-1716.67,-1421.42,-1215.99,-956.34,-691.72,-647.09,-483.24,-506,-452.26,-297.35,-333.69,-247.82,-234.96,-224.06,-117.45,-180.63,-146.2
-2476,-2090.88,-1894.16,-1468.09,-1282.67,-1067.78,-986.87,-702.92,-461.81,-403.86,-198.1,-341.25,-303.59,-274.02,-244.24,-237,-90.62,-45.59,-0.69,-110.99
-2140,-1538.08,-1666.13,-1485.22,-1119.72,-963.19,-874.12,-814.68,-599.3,-356.07,-317.88,-135.62,-275.6,-278.78,-183.42,-185.5,-103.06,-37.4,40.48,-46.89
-1852,-1678.36,-1477.13,-1389.74,-1109.72,-776.14,-622.71,-638.05,-642.18,-471.19,-315.66,-312.11,-119.18,-297.12,-275.96,-126.43,-259.33,-107.04,22.28,93.66
-1588,-1437.78,-1424.63,-1299,-1144.67,-994.03,-677.55,-427.55,-417.82,-415.82,-321.92,-198.54,-65.62,38.98,-71.13,-213.05,-51.3,-141.53,6.69,107.52
-1380,-1018.41,-972.59,-1001.81,-899.27,-847.36,-775.6,-522.69,-291.5,-325.28,-375.2,-272.25,-192.38,-92.51,-29.96,-129.38,-228.32,-125.34,-149.18,-104.99
-1172,-799.51,-629.1,-702.37,-700.22,-756.38,-651.87,-527.48,-364.93,-176.49,-108.82,-87.36,-14.99,77.93,104.91,143.69,69.07,-117.85,0.08,-4.14
-1016,-780.9,-571.64,-519.19,-574,-545.97,-692.98,-586.02,-587.81,-472.21,-330.92,-235.32,-112.48,-44.42,22.12,14.58,28.24,-8.58,-114.75,-6.25
-888,-556.4,-439.96,-362.17,-402.74,-411.28,-440.01,-565.68,-402.82,-401.14,-331.3,-184.42,-120.67,2.65,101.84,140.95,114.9,109.4,73.7,2.38
-804,-695.46,-463.2,-368.83,-255.28,-412.36,-405.3,-409.73,-477.62,-339.97,-295.22,-248.31,-120,-49.69,28.69,108.44,136.3,108.05,134.7,79.62
-684,-576.28,-497.47,-333.14,-360.25,-372.43,-390.36,-431.01,-418.1,-361.53,-235.22,-212.1,-178.94,-58.14,-69.71,19.29,78.08,119.96,17.9,35.67
