-11782,-9311.4,-7258.59,-5928.69,-4647.05,-4121.83,-4175.98,-3486.24,-2897.06,-2452.68,-2451.38,-2231.51,-1884.25,-1798.79,-1298.94,-1125.75,-1133.14,-979.05,-784.08,-912.96
-10218,-8133.79,-6577.7,-5585.72,-4596.26,-3939.53,-3383.6,-3293.15,-2643.63,-2490.77,-2114.58,-2167.5,-1775.41,-1271.65,-1283.5,-962.7,-920.21,-830.29,-859.11,-510.17
-9028,-7068.24,-6254.28,-5370.45,-4632.8,-3688.09,-3193.69,-2943.51,-2714.61,-2118.81,-1872.8,-1630.18,-1472.07,-1064.72,-688.42,-555.76,-318.54,-405.98,-667.73,-572.95
-7908,-5919.01,-5613.47,-4697.94,-4153.46,-3639.74,-2869.15,-2571.89,-2301.76,-2310.97,-1880.88,-1662.02,-1478.72,-1352.43,-976.71,-627.64,-695.3,-668.67,-490.51,-685.74
-6956,-5317.94,-4425.71,-4205.99,-3726.72,-3286.68,-2842.62,-2130.67,-1843.55,-1267.73,-1239.58,-907.05,-791.82,-557.84,-743.64,-670.89,-702.27,-526.29,-567.04,-251.52
-6036,-4460.53,-4150.1,-3210.25,-2736.05,-2606.87,-2360.86,-2147.66,-1659.89,-1433.91,-776.78,-759.72,-574.05,-698.43,-360.03,-666.15,-451.3,-309.99,-330.62,-551.42
-5116,-3760.13,-3420.2,-3449.54,-2759.7,-2549.59,-2337.36,-2274.56,-2084.58,-1596.84,-1433.28,-1039.56,-996.06,-1006.47,-986.76,-727.54,-837.78,-659.73,-479.22,-392.92
-4436,-3692.97,-3500.41,-3300.89,-2795.94,-2235.53,-1742.52,-1753.73,-1699.84,-1635.99,-1313.82,-1177.93,-752.17,-714.17,-752.76,-650.41,-763.5,-551.55,-405.78,-241.48
-3816,-2915.49,-2970.06,-2927.27,-2765.92,-2403.39,-1920.46,-1417.28,-1616.86,-1471.76,-1492.14,-1157.81,-888.79,-541.45,-416.71,-642.73,-530.75,-703.14,-433.52,-275.44
-3386,-2331.1,-2021.02,-2180.12,-2191.02,-2095.62,-1827.74,-1440.53,-1054.46,-1069.15,-1036.06,-965.91,-721.48,-486.5,-370.34,-280.48,-384.18,-215.59,-251.7,-236.38
-2922,-2040.99,-1417.35,-1305.97,-1628.74,-1745.37,-1641.73,-1536.97,-1323.23,-1058.17,-1177.7,-1067.82,-917.34,-593,-434.52,-219.64,-124.18,-469.51,-201.97,-235.72
-2496,-1987.91,-1714.76,-1378.26,-1269.14,-1238.89,-1722.86,-1545.82,-1566.67,-1305.25,-981.36,-1145.54,-990.36,-827.1,-552.74,-591.06,-480.61,-485.46,-668.79,-410.6
-2190,-1609.22,-1528.85,-1381.11,-1231.5,-1108.22,-1049.66,-1531.49,-1321.81,-1482.53,-1182.96,-941.57,-1162.3,-990.76,-724.91,-546.83,-464.4,-375.77,-528.83,-697.51
-1924,-1378.64,-1238.3,-1286.47,-1236.09,-1176.91,-1060.45,-1140.84,-1511.46,-1242.61,-1218.5,-930.85,-838.49,-958,-728.48,-565.47,-390.72,-315.86,-138.82,-213.82
-1726,-1325.34,-1074.98,-903.69,-1201.48,-1309.06,-1104.03,-1101.51,-1222.11,-1388.03,-1188.86,-1103.39,-966.42,-893.93,-1195.38,-996.67,-801.1,-623.47,-635,-525.27
