-388.828000000004,-495.23,-203.88,146.36,87.48,41,133.76,-54.59,140.23,146.99,240.28,99.15,67.68,-114.77,-75.26,12.36,-16.53,119.84
-512.144000000006,-340.87,-478.79,-241.21,57.5,-73.85,-66.28,-9.31,-75.24,69.66,65.62,10.2,-144.91,-206.63,-372.56,-228.98,-166.42,-230.19
-492.244000000005,-228.34,-131.01,-175.3,29.83,196.34,230.89,152.36,204.97,253.02,176.4,-69.46,-88.26,-156.68,-182.17,-203.21,-247.98,-171.17
-156.364000000005,-420.7,-353.12,-452.1,-325.06,-206.4,-126.38,-81.14,76.05,122.6,187.62,225.26,-2.86,21.11,-27.66,-35.92,56.55,88.21
-317.368000000003,-321.05,-488.7,-332.85,-540.5,-361.31,-174.74,-87.2,-148.2,-117.37,-35.76,118.08,141.81,277.21,330.46,321.41,58.4,75.01
-356.476000000006,-280.87,-313,-356.99,-283.29,-512.55,-340.19,-201.24,-85.06,-59.66,-14.82,127.67,378.99,503.9,489.29,524.22,564.25,469.4
-221.880000000004,-355.21,-347.38,-424.74,-380.64,-351.66,-459.89,-321.29,-218.87,-210.29,-206.2,-131.4,-89.63,-15.35,60.91,172.4,175.11,239.24
-125.672000000001,-121.71,-270.38,-219.04,-336,-316.36,-268.6,-413.99,-289.31,-164.62,-193.8,-181.41,-97.2,11.33,24.77,77.51,165.46,99.74
-176.780000000001,-65.91,-55.4,-202.91,-138.94,-241.74,-236.98,-216.67,-330.19,-246.82,-163.46,-111.9,-105.34,-219.31,-150.82,-82.32,-66.61,-235.29
-86.8960000000053,-68.43,0.78,-102.11,-135.47,-111.67,-117.03,-118.28,-100.64,-107.2,-37.48,32.24,67.69,58.24,93.05,156.02,219,132.9
-98.6320000000015,-106.53,-121.42,-144.87,-136.19,-136.83,-72.81,-70.04,-64.82,-4.61,55.6,115.81,176.02,115.44,91.26,111.81,162.43,213.04
58.9039999999995,51.2,26.96,63.28,18.06,17.76,80.06,142.36,141.17,143.09,201.58,260.07,318.55,377.04,309.43,281.17,331.98,382.79
71.2479999999979,102.1,128.24,147.29,183.27,144.36,65.7,120.9,176.1,165.58,158.82,210.21,261.59,312.98,364.36,326.02,290.76,336.93
-18.628000000001,35.72,40.23,92.4,86.82,95.25,31.16,-1.39,35.62,72.63,41.68,15.16,48.35,81.55,114.75,147.94,88.57,32.75
-36.208,9.31,54.83,48.32,91.65,74.51,68.44,47.84,4.62,34.44,64.26,23.88,-11.41,14.6,40.61,66.61,92.62,23.21
